precinct,phone,address,lat,lng,borough
76th Precinct,(718) 834-3211,191 Union Street,42.8562981,-89.3048231,Brooklyn
77th Precinct,(718) 735-0611,127 Utica Avenue,40.6747071,-73.9302584,Brooklyn
78th Precinct,(718) 636-6411,65 6th Avenue,40.6805874,-73.9741579,Brooklyn
79th Precinct,(718) 636-6611,263 Tompkins Avenue,40.6888144,-73.9448433,Brooklyn
81st Precinct,(718) 574-0411,30 Ralph Avenue,40.6896628,-73.9243521,Brooklyn
83rd Precinct,(718) 574-1605,480 Knickerbocker Avenue,40.6980614,-73.91797369999999,Brooklyn
84th Precinct,(718) 875-6811,301 Gold Street,40.6954412,-73.9829003,Brooklyn
88th Precinct,(718) 636-6511,298 Classon Avenue,40.690066,-73.96055799999999,Brooklyn
90th Precinct,(718) 963-5311,211 Union Avenue,40.7063099,-73.95061609999999,Brooklyn
94th Precinct,(718) 383-3879,100 Meserole Avenue,40.7270017,-73.95295279999999,Brooklyn
100th Precinct,(718) 318-4200,92-24 Rockaway Beach Boulevard,40.5714753,-73.8590847,Queens
101st Precinct,(718) 868-3400,16-12 Mott Avenue,40.6029559,-73.74999799999999,Queens
102nd Precinct,(718) 805-3200,87-34 118th Street,40.6987131,-73.8312832,Queens
103rd Precinct,(718) 657-8181,168-02 P.O Edward Byrne Ave.,40.75,-73.86666699999999,Queens
104th Precinct,(718) 386-3004,64-2 Catalpa Avenue,40.7044548,-73.893644,Queens
105th Precinct,(718) 776-9090,92-08 222nd Street,40.72623470000001,-73.7347765,Queens
106th Precinct,(718) 845-2211,103-53 101st Street,40.68215,-73.839665,Queens
107th Precinct,(718) 969-5100,71-01 Parsons Boulevard,40.7301379,-73.81064289999999,Queens
108th Precinct,(718) 784-5411,5-47 50th Avenue,40.7430786,-73.9546953,Queens
109th Precinct,(718) 321-2250,37-05 Union Street,40.7623039,-73.82743669999999,Queens
110th Precinct,(718) 476-9311,94-41 43rd Avenue,40.7450401,-73.8700027,Queens
111th Precinct,(718) 279-5200,45-06 215th Street,40.7601999,-73.76776819999999,Queens
112th Precinct,(718) 520-9311,68-40 Austin Street,40.722358,-73.851468,Queens
113th Precinct,(718) 712-7733,167-02 Baisley Boulevard,40.6797845,-73.77577389999999,Queens
114th Precinct,(718) 626-9311,34-16 Astoria Boulevard,40.769281,-73.915487,Queens
115th Precinct,(718) 533-2002,92-15 Northern Boulevard,40.7568128,-73.87552310000001,Queens
120th Precinct,(718) 876-8500,78 Richmond Terrace,40.644714,-74.077306,Staten Island
121st Precinct,(718) 697-8700,970 Richmond Avenue,40.625422,-74.148597,Staten Island
122nd Precinct,(718) 667-2211,2320 Hylan Boulevard,40.574172,-74.105556,Staten Island
123rd Precinct,(718) 948-9311,116 Main Street,40.511799,-74.25003,Staten Island
